"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-14T11:58:21.7168393+03:00[Europe/Bucharest]","0.0","11.38"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-14T11:58:34.1217482+03:00[Europe/Bucharest]","0.0","6.53"
